feature,coefficient
age_years,582.3025563489734
bmi,780.6847960939494
is_smoker,2192.5313049760553
is_male,-31.575794090270925
children_count,-0.0
annual_income_lakh,45.58104110573146
exercise_hours_per_week,-528.4874376510209
diet_quality_score,-396.92543200752226
chronic_conditions_count,2930.4357445923374
hospital_visits_last_year,1886.3786019963516
medication_cost_monthly,1211.7090131837713
stress_level_index,807.2187826456413
alcohol_units_per_week,-38.50715548548777
sleep_hours_per_day,-9.130582862424365
bp_systolic_mmHg,-76.9506228595679
cholesterol_mg_dl,3.029417549265823
has_annual_health_checkup,-484.74514851888983
family_history_score,-1.6182829795900788
dental_visits_last_year,18.478843046257886
screenings_completed,60.43392407258266
